date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2008_03,1361.75,1174.5,1064.0,0.0,75.14285714285714,28.428571428571427,27.6984126984127,74.13492063492063,0.0
2008_04,1290.25,1080.5,1006.3333333333334,0.0,77.71428571428571,26.571428571428573,27.33333333333333,77.09523809523809,0.0
2008_05,1100.0,850.5,870.0,0.0,83.14285714285714,27.0,27.33333333333333,78.66666666666667,0.0
2008_06,1012.5,883.5,1140.3333333333333,0.0,77.0,27.428571428571427,27.0,79.28571428571428,0.0
2008_07,982.0,1281.5,1269.6666666666667,0.0,64.83333333333333,29.75,28.05952380952381,74.99206349206348,0.0
2008_08,1066.0,1450.0,1264.6666666666667,0.0,71.0,30.0,29.05952380952381,70.94444444444444,0.0
2008_09,1166.75,1070.0,1237.3333333333333,0.0,77.0,27.0,28.916666666666668,70.94444444444444,0.0
2008_10,1175.75,1233.0,1247.0,0.0,77.57142857142857,28.857142857142858,28.61904761904762,75.19047619047619,0.0
2008_11,1341.5,1423.5,1309.3333333333333,0.0,71.57142857142857,28.428571428571427,28.09523809523809,75.38095238095238,0.0
2008_12,1246.75,1178.0,1075.6666666666667,0.0,75.57142857142857,27.857142857142858,28.38095238095238,74.90476190476191,0.0
2008_13,1205.5,976.0,897.3333333333334,0.0,78.85714285714286,27.0,27.76190476190476,75.33333333333333,0.0
2008_14,1199.75,805.5,886.6666666666666,0.0,77.14285714285714,25.571428571428573,26.80952380952381,77.19047619047619,0.0
2008_15,991.75,894.5,990.3333333333334,0.0,76.28571428571429,28.571428571428573,27.047619047619047,77.42857142857143,0.0
2008_16,935.25,1115.5,1072.0,0.0,77.28571428571429,27.571428571428573,27.23809523809524,76.90476190476191,0.0
2008_17,960.5,1083.5,1006.6666666666666,0.0,72.14285714285714,28.571428571428573,28.23809523809524,75.23809523809524,0.0
2008_18,989.0,919.0,841.0,0.0,75.28571428571429,26.571428571428573,27.571428571428573,74.90476190476191,0.0
2008_19,1017.25,769.0,639.0,0.0,67.42857142857143,24.571428571428573,26.571428571428573,71.61904761904763,0.0
2008_20,926.25,532.0,537.6666666666666,0.0,77.85714285714286,22.714285714285715,24.61904761904762,73.52380952380952,0.0
2008_21,725.5,464.0,475.3333333333333,0.0,74.85714285714286,23.857142857142858,23.71428571428571,73.3809523809524,0.0
2008_22,616.5,523.5,490.6666666666667,0.0,75.85714285714286,24.285714285714285,23.61904761904762,76.19047619047619,0.0
2008_23,527.75,461.5,563.6666666666666,0.0,77.85714285714286,24.0,24.047619047619047,76.1904761904762,0.0
2008_24,462.75,596.5,634.0,0.0,69.85714285714286,25.428571428571427,24.57142857142857,74.52380952380952,0.0
2008_25,560.0,738.5,616.6666666666666,0.0,71.28571428571429,23.571428571428573,24.33333333333333,73.00000000000001,0.0
2008_26,600.0,541.0,505.3333333333333,0.0,80.71428571428571,22.142857142857142,23.71428571428571,73.95238095238096,0.0
2008_27,568.75,403.5,387.6666666666667,0.0,78.57142857142857,22.857142857142858,22.857142857142858,76.85714285714285,0.0
2008_28,571.0,395.0,430.0,0.0,73.42857142857143,22.428571428571427,22.47619047619048,77.57142857142857,0.0
2008_29,468.0,428.0,468.0,0.0,68.28571428571429,22.0,22.42857142857143,73.42857142857143,0.0
2008_30,415.75,524.0,524.3333333333334,0.0,69.28571428571429,22.857142857142858,22.428571428571427,70.33333333333333,0.0
2008_31,459.5,536.5,509.0,0.0,68.14285714285714,23.571428571428573,22.80952380952381,68.57142857142857,0.0
2008_32,482.25,489.5,504.0,0.0,74.71428571428571,25.285714285714285,23.9047619047619,70.71428571428571,0.0
2008_33,506.75,493.5,475.0,0.0,72.85714285714286,23.857142857142858,24.23809523809524,71.9047619047619,0.0
2008_34,515.0,485.5,464.6666666666667,0.0,71.85714285714286,23.714285714285715,24.28571428571429,73.14285714285714,0.0
2008_35,487.5,430.5,518.3333333333334,0.0,70.0,23.428571428571427,23.666666666666668,71.57142857142857,0.0
2008_36,462.0,558.5,558.0,0.0,65.57142857142857,24.0,23.71428571428571,69.14285714285715,0.0
2008_37,522.0,625.5,555.6666666666666,0.0,68.14285714285714,26.571428571428573,24.666666666666668,67.90476190476191,0.0
2008_38,528.0,486.5,487.3333333333333,0.0,77.14285714285714,21.857142857142858,24.142857142857142,70.28571428571428,0.0
2008_39,522.5,452.5,522.0,0.0,73.71428571428571,23.0,23.80952380952381,73.0,0.0
2008_40,539.0,575.0,533.6666666666666,0.0,70.14285714285714,26.714285714285715,23.857142857142858,73.66666666666666,0.0
2008_41,530.75,556.0,522.3333333333334,0.0,78.42857142857143,23.857142857142858,24.52380952380952,74.09523809523809,0.0
2008_42,504.25,453.0,692.3333333333334,0.0,74.57142857142857,26.857142857142858,25.80952380952381,74.38095238095238,0.0
2008_43,514.0,813.0,866.0,0.0,76.0,25.571428571428573,25.42857142857143,76.33333333333333,0.0
2008_44,684.5,1071.5,955.6666666666666,0.0,70.71428571428571,26.428571428571427,26.28571428571429,73.76190476190476,0.0
2008_45,762.25,848.0,760.0,0.0,78.14285714285714,27.428571428571427,26.47619047619047,74.95238095238095,0.0
2008_46,830.5,654.0,536.0,0.0,82.42857142857143,26.142857142857142,26.666666666666668,77.09523809523809,0.0
2008_47,862.75,442.0,435.6666666666667,0.0,86.57142857142857,23.571428571428573,25.71428571428571,82.38095238095237,0.0
2008_48,645.0,361.5,515.0,0.0,91.0,23.571428571428573,24.42857142857143,86.66666666666667,0.0
2008_49,507.75,622.5,735.0,0.0,79.28571428571429,25.0,24.04761904761905,85.61904761904763,0.0
2008_50,532.25,891.0,829.0,0.0,77.57142857142857,26.285714285714285,24.952380952380956,82.61904761904763,0.0
2008_51,626.25,832.5,1136.6666666666667,0.0,84.14285714285714,26.857142857142858,26.047619047619047,80.33333333333333,0.0
2008_52,727.5,1225.0,1082.6666666666667,0.0,85.42857142857143,27.142857142857142,26.761904761904763,82.38095238095238,0.0
2009_01,1058.0,1271.5,1353.6666666666667,0.0,76.42857142857143,28.428571428571427,27.47619047619047,82.0,0.0
2009_02,1052.0,1158.0,1039.3333333333333,0.0,85.71428571428571,25.571428571428573,27.047619047619047,82.52380952380953,0.0
2009_03,1191.5,1160.0,1113.3333333333333,0.0,75.71428571428571,29.142857142857142,27.71428571428571,79.28571428571428,0.0
2009_04,1215.75,911.0,1065.6666666666667,0.0,79.0,27.857142857142858,27.52380952380952,80.14285714285712,0.0
2009_05,1034.5,1197.5,1086.0,0.0,77.42857142857143,28.428571428571427,28.47619047619048,77.38095238095238,0.0
