date,real_mosquitoes,predicted_mosquitoes,cases
2009_03,1191.5,605.0668334960938,91.0
2009_04,1215.75,548.80224609375,108.0
2009_05,1034.5,486.7294921875,122.0
2009_06,1178.75,416.322265625,127.0
2009_07,1015.0,344.8328857421875,176.0
2009_08,983.5,259.43975830078125,159.0
2009_09,934.75,190.5721893310547,225.0
2009_10,856.5,115.79020690917969,306.0
2009_11,844.25,73.21439361572266,485.0
2009_12,793.5,47.894981384277344,514.0
2009_13,696.25,35.05670166015625,481.0
2009_14,570.5,31.588245391845703,362.0
2009_15,558.75,33.44569396972656,473.0
2009_16,652.0,35.661861419677734,363.0
2009_17,687.5,36.02616500854492,297.0
2009_18,742.25,33.927249908447266,413.0
2009_19,775.0,31.021512985229492,387.0
2009_20,786.5,29.86974334716797,344.0
2009_21,810.0,28.607860565185547,319.0
2009_22,788.5,29.023962020874023,278.0
2009_23,676.0,27.4859619140625,173.0
2009_24,548.25,25.975082397460938,169.0
2009_25,443.0,27.50961685180664,145.0
2009_26,356.25,31.539281845092773,122.0
2009_27,360.75,33.46769332885742,89.0
2009_28,385.25,32.74124526977539,71.0
2009_29,404.75,26.802806854248047,59.0
2009_30,411.25,21.047622680664062,19.0
2009_31,390.75,19.945343017578125,58.0
2009_32,387.0,20.630605697631836,28.0
2009_33,384.25,20.230812072753906,40.0
2009_34,346.0,20.929107666015625,21.0
2009_35,321.0,24.978384017944336,21.0
2009_36,363.5,35.674072265625,12.0
2009_37,447.75,101.20381927490234,18.0
2009_38,522.0,192.99070739746094,18.0
2009_39,563.0,234.7527313232422,15.0
2009_40,529.0,248.4237060546875,15.0
2009_41,508.5,291.3740234375,11.0
2009_42,489.5,268.79461669921875,15.0
2009_43,473.0,299.00604248046875,12.0
2009_44,419.25,392.00836181640625,14.0
2009_45,460.0,543.8090209960938,16.0
2009_46,624.5,686.1651611328125,17.0
2009_47,781.75,769.6992797851562,26.0
2009_48,935.75,733.658447265625,34.0
2009_49,900.0,643.1346435546875,32.0
2009_50,811.5,573.6038818359375,30.0
2009_51,708.5,545.669677734375,26.0
2009_52,663.75,567.8905639648438,11.0
2010_01,729.5,551.5604248046875,67.0
2010_02,900.5,507.50665283203125,61.0
2010_03,1125.5,485.14227294921875,53.0
2010_04,1268.25,479.511962890625,47.0
2010_05,1323.0,471.6265869140625,46.0
2010_06,1234.0,446.63031005859375,51.0
2010_07,1049.5,386.82440185546875,73.0
2010_08,882.5,446.370849609375,83.0
2010_09,757.0,477.6209716796875,67.0
2010_10,575.75,563.5642700195312,100.0
2010_11,646.75,688.3609008789062,121.0
2010_12,806.0,859.3104248046875,103.0
2010_13,936.75,898.68701171875,90.0
2010_14,1021.0,874.3154907226562,124.0
2010_15,974.0,803.7525024414062,124.0
