date,cases,population,population_2w,population_3w,precip,humidity,temp,windspeed,lw_avg_temp,lw_avg_humidity,lw_precip,predicted_mosquitoes,real_mosquitoes
2009_03,91.0,1191.5,1160.0,1113.3333333333333,21.1,75.04285714285713,28.81428571428572,37.04285714285714,27.623809523809523,78.92380952380954,161.60000000000002,605.0668334960938,1191.5
2009_04,108.0,1215.75,911.0,1065.6666666666667,77.8,78.60000000000001,27.27142857142857,30.714285714285715,27.290476190476188,79.72380952380952,226.4,548.80224609375,1215.75
2009_05,122.0,1034.5,1197.5,1086.0,26.3,77.08571428571429,28.2,37.58571428571429,28.09523809523809,76.9095238095238,125.2,486.7294921875,1034.5
2009_06,127.0,1178.75,1119.0,971.3333333333334,0.5,72.1,29.457142857142856,33.9,28.309523809523807,75.92857142857143,104.6,416.322265625,1178.75
2009_07,176.0,1015.0,769.5,788.0,4.1,74.35714285714286,28.557142857142857,36.52857142857143,28.73809523809524,74.51428571428572,30.899999999999984,344.8328857421875,1015.0
2009_08,159.0,983.5,750.5,854.3333333333334,58.900000000000006,80.0,27.842857142857145,26.185714285714287,28.61904761904762,75.48571428571428,63.49999999999999,259.43975830078125,983.5
2009_09,225.0,934.75,943.5,900.3333333333334,0.0,74.74285714285715,28.885714285714283,33.07142857142857,28.428571428571427,76.36666666666667,62.99999999999999,190.5721893310547,934.75
2009_10,306.0,856.5,938.0,783.0,2.0,72.38571428571429,29.285714285714285,27.3,28.671428571428567,75.70952380952382,60.899999999999984,115.79020690917969,856.5
2009_11,485.0,844.25,643.5,574.3333333333334,0.0,73.7,28.942857142857143,32.871428571428574,29.03809523809524,73.60952380952381,1.999999999999979,73.21439361572266,844.25
2009_12,514.0,793.5,454.5,489.3333333333333,62.2,82.05714285714285,27.542857142857144,22.428571428571427,28.590476190476192,76.04761904761905,64.19999999999999,47.894981384277344,793.5
2009_13,481.0,696.25,497.5,587.3333333333334,85.4,84.21428571428571,27.24285714285714,24.885714285714283,27.909523809523808,79.99047619047619,147.6,35.05670166015625,696.25
2009_14,362.0,570.5,663.0,724.0,68.3,83.48571428571428,26.75714285714286,24.31428571428572,27.18095238095238,83.25238095238093,215.9,31.588245391845703,570.5
2009_15,473.0,558.75,806.5,730.3333333333334,97.0,78.48571428571428,26.642857142857142,20.585714285714285,26.88095238095238,82.06190476190476,250.7,33.44569396972656,558.75
2009_16,363.0,652.0,712.0,734.0,36.0,76.18571428571428,25.485714285714288,23.3,26.29523809523809,79.38571428571429,201.29999999999995,35.661861419677734,652.0
2009_17,297.0,687.5,678.0,751.3333333333334,26.2,78.87142857142858,25.02857142857143,19.25714285714286,25.71904761904762,77.84761904761905,159.2,36.02616500854492,687.5
2009_18,413.0,742.25,838.0,856.0,34.0,75.52857142857144,24.17142857142857,24.585714285714285,24.895238095238096,76.86190476190477,96.2,33.927249908447266,742.25
2009_19,387.0,775.0,895.0,820.6666666666666,4.1,75.02857142857144,24.714285714285715,21.2,24.63809523809524,76.47619047619048,64.29999999999998,31.021512985229492,775.0
2009_20,344.0,786.5,782.0,752.0,4.0,74.71428571428571,25.228571428571428,27.27142857142857,24.704761904761902,75.0904761904762,42.09999999999999,29.86974334716797,786.5
2009_21,319.0,810.0,682.0,604.0,9.4,74.98571428571428,23.11428571428572,21.442857142857143,24.352380952380955,74.9095238095238,17.499999999999986,28.607860565185547,810.0
2009_22,278.0,788.5,570.0,507.0,0.0,72.54285714285714,24.65714285714285,26.985714285714288,24.33333333333333,74.08095238095238,13.399999999999984,29.023962020874023,788.5
