name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Big Pine Key,1998-01-01,20.1,12.9,16.5,20.1,12.9,16.5,9.6,64.1,0,0,0,,,,,37,38,1029,42,12.7,,,,,1998-01-01T07:09:57,1998-01-01T17:48:14,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-02,22.9,17.2,19.8,22.9,17.2,19.8,14.5,72.3,0,0,0,,,,,34.5,60.2,1025.3,71.2,13.2,,,,,1998-01-02T07:10:14,1998-01-02T17:48:54,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-03,23.9,19.3,21.6,23.9,19.3,21.6,18.5,82.9,0,0,0,,,,,31.2,66.2,1021.1,79.2,12.2,,,,,1998-01-03T07:10:29,1998-01-03T17:49:34,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-04,25.7,21.2,22.7,25.7,21.2,22.7,20.8,89.2,0.3,100,4.17,rain,,,,36.2,72.9,1018.1,62.8,12,,,,,1998-01-04T07:10:43,1998-01-04T17:50:15,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-05,26,21.2,23.4,26,21.2,23.4,21.7,90.5,0,0,0,,,,,24.2,78.6,1016.5,52.5,12.7,,,,,1998-01-05T07:10:56,1998-01-05T17:50:57,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-06,27.2,22.2,24.4,30.4,22.2,24.5,22.7,90.5,0,0,0,,,,,22.9,106.7,1015,48.3,11.2,,,,,1998-01-06T07:11:07,1998-01-06T17:51:39,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-07,27.2,23.4,24.6,29.5,23.4,24.7,22.7,89.4,0,0,0,,,,,28.8,136,1011.9,42.6,11.8,,,,,1998-01-07T07:11:17,1998-01-07T17:52:21,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-08,26.2,22.2,24.2,26.2,22.2,24.2,22.5,90,0,0,0,,,,,26.1,183.9,1011.4,44.3,11.9,,,,,1998-01-08T07:11:25,1998-01-08T17:53:04,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-09,25.4,21.2,23.1,25.4,21.2,23.1,20.8,87.1,0.599,100,4.17,rain,,,,20.6,1.4,1015.6,60.4,12.5,,,,,1998-01-09T07:11:32,1998-01-09T17:53:48,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-10,23.8,20.1,21.7,23.8,20.1,21.7,18.2,80.5,0,0,0,,,,,28.2,22.5,1018.4,61.1,12.7,,,,,1998-01-10T07:11:38,1998-01-10T17:54:31,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-11,23.8,20.1,21.6,23.8,20.1,21.6,17.8,79.1,0,0,0,,,,,25.1,28.6,1018.4,57.6,12.7,,,,,1998-01-11T07:11:42,1998-01-11T17:55:15,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-12,27.2,20.1,22.6,27.8,20.1,22.6,19,81,0,0,0,,,,,24.6,78.3,1019,25.8,12.6,,,,,1998-01-12T07:11:45,1998-01-12T17:55:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-13,26,20.5,23.2,26,20.5,23.2,20.6,85.8,0,0,0,,,,,25.1,103.8,1019.4,45.1,12.8,,,,,1998-01-13T07:11:46,1998-01-13T17:56:44,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
Big Pine Key,1998-01-14,26.2,21.2,23.6,26.2,21.2,23.6,19.9,80.1,0,0,0,,,,,25.8,110.8,1017.2,42.7,12.6,,,,,1998-01-14T07:11:46,1998-01-14T17:57:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,99457099999,72201512850"
